ticker	sector	target.price	price	DivGrow	EpsCgrow	EpsGrow	CashFlowGrow	SalesGrow	PE	PE5yr	price.book	price.sales	price.sales5yr	yield	yield5yr
SON	BasicM	0.96	37.23	3.1	-2	-2	-16.7	3.4	18.7	17.1	2.51	0.8	0.7	3.3	3.9
MHLD	Finance	1.04	13.08	67.5	7.8	7.8	10.3	72.2	17	17.3	1.18	0.47	0.46	2.8	3.9
JKHY	Tech	1.01	49.9	14.9	11.5	11.7	10.8	8.7	24.5	17.3	4	3.79	2.37	1.6	1.6
SNH	Services	1.02	22.75	2.2	4.9	4.9	-14.3	28	29.9	17.3	1.52	5.89	7.23	6.9	7.4
ROP	Tech	1.02	123.7	16.6	12.2	12.2	15.1	7.3	24.9	17.5	3.15	3.98	2.51	0.5	0.6
CBSH	Finance	1.03	43.19	25.3	5.5	5.5	-8.1	-6.2	15.3	17.7	1.85	5.91	4.33	2.1	3.2
BDX	Health	1.02	97.38	12.9	9.4	9.4	19.3	4.2	17.5	17.7	4.02	2.4	2.39	2	2
NWN	Utilities	1.05	41.04	4.4	-4.3	-4.3	-19.4	-6.7	19.3	17.7	1.48	1.52	1.39	4.4	3.7
MATW	BasicM	1.13	36.9	10.5	-0.7	-0.7	-1.2	3.7	18.9	17.8	1.99	1.05	1.25	1.1	0.9
NOC	CapGood	1	92.27	7.8	8.9	8.4	7.8	-3.6	11.5	17.9	2.26	0.86	0.6	2.6	3.4
MSEX	Utilities	1.02	20.02	1.4	0.5	0.5	25.8	5.1	19.6	17.9	1.72	2.74	2.47	3.7	4.3
PPL	Utilities	1.1	30.7	3.4	0.2	-5	-7.3	13.7	12.4	18	1.66	1.57	1.47	4.8	4.6
TRI	Services	0.95	32.88	5.5	6	-17.7	-1.6	12.5	27.4	18	1.64	2.12	1.99	4	3.8
MKC	ConsNC	1.06	67.65	9.2	11.5	11.5	33.2	6.6	22.3	18.1	5.2	2.2	1.61	2	2.5
TIF	Services	1.07	77.11	19.2	3.6	6.4	-19.2	5.3	22.8	18.1	3.62	2.52	1.89	1.8	1.9
CTAS	Services	0.95	47.76	6.8	3.3	3.3	4.2	1.9	18.9	18.2	2.65	1.35	1.06	1.3	1.8
EV	Finance	1.03	38.55	8.6	8.9	8.9	-12.1	2.2	21.9	18.2	6.93	3.59	2.86	2.1	2.5
MSA	Health	1.1	48.13	10.4	5.3	5.3	38.2	3.2	22.1	18.2	3.7	1.52	1.04	2.5	3.4
COST	Services	0.99	111.87	13.4	10.2	10.2	21	9	24.6	18.3	4.66	0.47	0.35	1.1	1.2
PB	Finance	1.03	59.8	11.6	10.6	10.6	-9	4.3	17.4	18.4	1.54	7.46	4.5	1.4	1.8
OMI	Health	0.85	34.11	14.2	7.8	7.5	-6.2	5.9	20.7	18.4	2.16	0.24	0.22	2.8	2.4
SIAL	BasicM	0.96	82.47	11.7	9.8	9.8	6.8	5.2	21.4	18.4	3.73	3.73	2.93	1	1.2
CL	ConsNC	1.04	57.77	11.8	9.3	9.3	12	4.4	24.2	18.6	35.23	3.12	2.46	2.4	2.5
CLC	CapGood	1.03	53.56	10.7	6.4	6.4	-2.8	4	27.2	18.6	2.84	2.38	1.87	1	1.1
PNY	Utilities	0.99	32.26	3.7	3.4	3.4	-71.9	-8.1	17.6	18.7	1.98	1.94	1.39	3.8	3.9
BRO	Finance	1.11	31.14	6.7	-1.2	-1.2	-1.3	4.6	22.2	18.7	2.3	3.46	2.77	1.2	1.6
ASEI	Tech	1.04	56.38	27.2	1.6	1.6	6.9	2.3	25.6	18.7	2.27	2.42	2.69	3.5	1.9
AFL	Finance	1.05	57.79	10.9	12.9	12.9	28.9	10.5	8	18.8	1.96	1.06	1.02	2.4	2.7
BAX	Health	1.13	69.56	16.9	9.8	9.8	8.1	4.7	17.3	18.8	5.19	2.63	2.49	2.8	2.2
PG	ConsNC	1.08	77.89	9.6	2.3	0.9	-7.6	1.2	20.2	18.8	3.2	2.54	2.09	3.1	3.3
ARTNA	Utilities	1.12	21.8	3.7	4.4	4.4	30.4	6.1	21.8	18.8	1.59	2.72	2.19	3.8	4.2
PH	BasicM	1	99.95	15.1	2.4	2.4	-3.2	1.4	16	18.9	2.6	1.15	0.88	1.8	2
CRR	Energy	0.89	81.59	14.4	17.6	15.7	38.3	16.6	24.3	18.9	2.57	3.09	3.74	1.5	1
RPM	BasicM	1.04	33.98	3.6	15.8	15.8	15.4	2.3	45.9	18.9	3.65	1.08	0.7	2.6	4.3
CSL	BasicM	1.07	66.6	6.3	5.5	4.3	15.5	7	23.3	19	2.29	1.17	0.77	1.3	1.9
HRS	CapGood	0.89	56.63	19.8	4.5	-21.4	12.8	2.1	13.7	19.1	3.91	1.19	1.03	3	2.5
ABM	Services	1.08	24.15	3.9	2.6	1.8	52.7	9.7	18.3	19.2	1.51	0.29	0.29	2.5	2.6
THI	Services	1.1	54.79	24.6	12.7	12.7	7.2	8.8	21.3	19.3	7.05	2.79	2.5	1.8	1.4
BANF	Finance	0.99	51.08	8.1	0.1	0.1	-6	-4.6	15.2	19.4	1.45	4.34	3.64	2.4	2.3
PX	BasicM	1.07	117.4	12.9	9	9	-19.5	3.6	21	19.4	5.86	3.02	2.53	2	2.1
CWT	Utilities	1.11	19.95	1.7	9.3	9.3	19.2	8.8	18.3	19.5	1.65	1.68	1.65	3.2	3.2
SWX	Utilities	1.05	46.78	6.5	8	8	-17.4	-2.2	14.8	19.6	1.57	1.15	0.77	2.8	3.2
JBHT	Transp	1.09	72	14.5	10.7	10.7	-8.6	7.7	26.7	19.6	9.35	1.59	1.11	0.8	1.4
EAT	Services	1.1	39.99	13.8	39	35.5	18.7	-5.9	18	19.8	18.6	0.98	0.59	2.4	2.5
SYK	Health	1.04	66.89	22.3	7.2	6.6	10.2	7.6	22.4	19.8	2.94	2.88	2.69	1.6	1.1
FDS	Tech	0.96	102.35	26.4	13.5	13.5	11.8	11.1	23.4	19.8	7.45	5.32	5.12	1.4	1.2
PLL	CapGood	0.95	69.14	10	10.6	23.6	89.3	0.6	24	19.8	4.27	2.93	1.94	1.4	1.8
THFF	Finance	1	30.42	1.8	5	5	7.4	-2.3	13.1	19.9	1.1	3.45	3.51	3.2	2.8
YORW	Utilities	0.99	19.52	2.6	4.8	4.8	33.9	5.7	26	19.9	2.51	5.97	4.81	2.8	3.5
GRC	CapGood	0.88	34.97	4.7	4.2	4.2	-12.5	4.2	29.1	19.9	2.98	1.94	1.64	1.1	1.4
PEP	ConsNC	1.11	79.73	8.3	2.5	2.5	2.3	10.7	18.8	20.2	5.45	1.87	1.84	2.8	3
CHD	ConsNC	1.11	59.35	45	14.3	14.3	11.4	5.6	22.7	20.3	3.83	2.65	1.89	1.9	1.2
JJSF	ConsNC	1.08	76.92	8.9	10.8	10.8	5.2	7.9	22.9	20.3	2.86	1.66	1.12	0.8	1
RAVN	BasicM	1.19	29.21	13.8	13.5	13.5	20.4	11.7	24.1	20.3	4.49	2.77	2.31	1.6	1.6
CTBI	Finance	1	37.72	2.6	3.7	3.7	1	-4.8	13.2	20.5	1.47	3.91	2.85	3.4	4.2
LSTR	Transp	1.03	54.65	40.2	6.7	6.7	-4.8	2.3	20.5	20.6	6.44	0.93	0.85	0.4	0.7
FELE	Tech	1.01	35.935	-2	23.2	23.2	20	8.2	21.6	20.6	3.14	1.84	1.17	0.9	1.4
FLO	ConsNC	1.1	20.79	15.6	8	8	-6.1	8.4	19.1	20.8	4.39	1.24	0.93	2.2	2.8
NVO	Health	1.04	166.94	32	23.7	23.7	18.6	13.3	21.2	20.8	14.2	6.16	4.76	1.9	2.2
INTC	Tech	1	21.98	14.1	12.9	12.9	-9.1	6.8	11.9	20.9	2.03	2.09	2.53	4.1	3.3
MCHP	Tech	1.11	38.81	3.1	-14.6	-14.6	0	8.8	64.7	20.9	3.91	4.52	4.59	3.7	4.6
KWR	BasicM	1.03	66.36	2.5	18.9	18.9	24.7	5.4	16.2	21	2.85	1.21	0.56	1.5	3.7
SU	Energy	1.17	33.87	21.4	-11.1	-11.1	19.2	17.4	19.7	21.2	1.33	1.38	1.5	2.2	1
ITC	Utilities	1.07	88.89	5.3	16.2	16.2	-18.4	14.3	23.8	21.2	3.06	5.22	3.86	1.9	2.5
BCR	Health	0.99	114.87	5.7	9.8	9.8	9.3	6.1	54.7	21.2	5.87	3.07	3.01	0.7	0.8
KO	ConsNC	1.14	38.18	8.4	9.2	9.2	7.3	10.7	20.2	21.3	5.27	3.57	3.6	2.9	2.7
TE	Utilities	1.06	16.53	2.6	-9.8	-12.9	20.8	-3.3	15.6	21.4	1.54	1.21	1.06	5.3	5.2
BOKF	Finance	1.06	64.09	26.9	9.7	9.7	16.4	-7.4	13	21.5	1.47	5.7	3.72	2.4	2.6
CTWS	Utilities	1.12	30.46	2.1	7.9	7.9	-31	7.3	20.6	21.7	1.75	3.82	3.16	3.3	3.7
LLTC	Tech	1	38.33	5.5	1.2	1.2	-1.5	1.8	22.4	21.7	9.28	7.11	5.54	2.7	3.2
DV	Services	0.93	30.01	23.2	1.6	-1.3	1.1	12.5	15.5	22.1	1.37	0.97	1.75	1.1	0.6
UMBF	Finance	1.1	59.73	7.8	11.5	11.5	15.6	-3.9	21.3	22.1	1.95	7.03	4.89	1.4	1.8
TAP	ConsNC	1.07	48.79	14.9	-3.1	-2.3	48.7	-8.8	15.6	22.4	1.12	2.11	2.23	2.6	2.4
QCOM	Tech	1.07	66.28	12.3	9.6	12.5	7.4	16.6	17.6	22.4	3.05	4.92	6.03	2.1	1.6
DAKT	Tech	0.97	10.69	59.8	-3.9	-3.9	-15.6	0.7	21	22.5	2.39	0.87	0.96	3.4	3.9
HEI	CapGood	0.87	62.5	21.4	15.7	15.7	22.2	12.1	34.7	22.6	5.74	3.44	2.22	0.2	0.3
RCI	Services	1.12	39.6	30.7	16.7	16.3	-8.6	4.3	11.8	22.7	4.95	1.69	1.71	4.3	3.6
WEYS	ConsCyc	1.19	24.95	14.9	-2.4	-2.4	-16.6	4.8	14.9	22.7	1.53	0.91	1.21	2.9	2.5
DCI	ConsCyc	0.99	35.24	13.8	8.9	8.9	20.6	1.8	21.4	22.8	4.8	2.14	1.69	1.5	1.2
ECL	ConsNC	1.05	91.35	11	6.9	6.9	-5.4	16.7	32.7	22.8	4.13	2.24	1.67	1	1.4
MDT	Health	1.08	51.75	15.8	12.5	12.5	10.1	4.2	14.9	23.2	2.82	3.14	2.66	2.2	2.3
AWR	Utilities	0.89	52.6	5.9	12.5	11.8	20.5	9.7	17.4	23.2	2.18	2.13	1.69	3.1	3
WTR	Utilities	1.08	30.37	6.9	12.9	14.4	8.5	4.7	20.4	23.4	3	5.5	4.09	2.5	2.9
SNN	Health	1.03	58.26	17	18.9	18.9	28.3	4.2	19.2	23.5	2.71	2.52	2.14	2.3	1.8
ROL	Services	1.11	24.75	17.7	12.1	12.1	3.3	7.3	31.7	23.6	9.41	2.79	2.04	1.5	1.5
BMI	Tech	1.01	45.08	14.2	8.7	11.1	19.4	6.4	27.3	23.8	3.64	2.01	2	1.6	1.4
SJW	Utilities	1.05	26.15	3.4	2.7	2.7	12.3	4.8	20.3	24	1.68	1.95	2.03	2.8	2.7
KMP	Utilities	1.15	81.56	7.4	32	-18.6	6.4	-1.3	24.8	24.9	2.51	3.2	2.42	6.5	7.1
LNN	CapGood	0.99	76.02	7.8	20.5	20.5	45.8	14.4	14.2	25	2.63	1.46	1.66	0.7	0.6
CHRW	Transp	1	56.87	12	14.1	14.1	0.7	9.2	15.6	25	6.06	0.75	1.06	2.5	1.8
LEG	ConsCyc	1.08	28.92	7.9	38.8	98.3	-8.2	-2.6	16.8	25.1	2.96	1.13	0.87	4.1	5.3
BBL	BasicM	1.17	58.08	10.6	-5.8	-5.8	-32.3	2.1	14.3	25.4	2.19	2.34	2.59	4	3.4
AEL	Finance	1.08	19.81	20.1	15.4	15.4	54.7	17.3	7.9	25.5	0.88	0.65	0.59	0.8	1.1
UBA	Services	1.16	19.53	1.5	-13.1	-19.8	30.7	2.2	72.3	25.9	2.29	6.41	5.11	5.1	5.9
THG	Finance	1.11	53.27	25.2	-25.3	-23.9	61.8	11.4	23.1	26	0.94	0.5	0.59	2.5	2.3
TROW	Finance	1.05	70.14	12.6	6.5	6.5	-11.3	6.2	19.2	26.1	4.2	5.61	5.46	2.2	2.2
NATI	Tech	0.96	27.75	19.8	-3.8	-3.8	-19.8	9.1	44	26.2	3.55	2.94	2.85	2	1.8
EXPD	Transp	1.04	40.56	14.9	4.6	4.6	4.7	2.7	24.6	27	3.95	1.4	1.53	1.5	1.1
GEL	Energy	1.09	48.67	13.2	31	31	-37.7	27.7	36.6	27.1	4.5	0.9	0.45	4.2	7.6
EPD	Utilities	1.11	59.42	5.7	24.2	24.2	4.5	9.8	21.5	27.3	3.73	1.2	0.47	4.6	7
BPL	Energy	1.08	70	5.2	-4.3	-4.3	-26.6	53	25	27.5	2.7	1.66	0.75	6.1	7.6
WABC	Finance	0.9	47.07	1.7	-0.6	-0.6	4	-4.9	17.4	27.9	2.32	7.54	6.75	3.1	2.9
RBA	CapGood	0.95	18.53	8.9	0.5	0.5	20	7	26.9	28.3	2.99	4.5	6.12	2.8	1.9
BHP	BasicM	0.91	63.28	10.6	-5.8	-5.8	-32.3	2.1	15.5	28.5	2.38	2.55	3.03	3.7	2.9
AOS	Tech	1	42.05	9.1	13.9	10	-35.3	-3.5	24.3	28.7	3.1	1.91	0.83	1.1	1.8
MON	BasicM	1.11	97.89	18.4	17.9	15.9	10.9	10.1	21.3	29.1	3.77	3.54	3.71	1.8	1.4
O	Services	1.09	39.5	2.6	-5.2	-5.8	-15	10.3	55.6	29.3	1.73	12.76	9.03	5.5	6
HEP	Energy	1.11	35.53	5.3	5.4	2.9	-36.1	24.9	31.2	29.8	5.19	6.83	5.16	5.5	7.9
SEIC	Finance	1.1	29.76	35.1	-2.1	-2.1	-20	-6.2	19.8	31.1	4.55	4.84	3.54	1.3	1.5
UBNK	Finance	1.06	15.66	9.6	-1.6	-1.6	3.1	3.7	43.5	31.1	1.03	3.63	3.21	2.8	2.2
HCSG	Services	1.05	24.21	18.3	6.7	6.7	13.7	13.3	31.9	31.6	6.82	1.51	1.24	2.8	3.7
ERIE	Finance	1.04	73.76	21	-2.4	-2.4	17.5	34.8	24.2	31.8	5.32	0.59	0.61	3.2	4.5
RGLD	BasicM	1.34	58.03	21.8	11.9	11.9	15.7	34.3	52.8	33.7	1.6	13	15.05	1.4	0.9
IPCC	Finance	0.98	60.51	20.1	-11.8	-11.8	20	2.6	24.4	34.9	1.08	0.52	0.63	2	1.2
FRT	Services	1.07	97.31	3.7	7.3	-7.4	-0.6	4.7	42.9	35.7	4.69	10.06	8.45	3.2	3.6
HCP	Services	1.11	40.73	2.4	34.1	-6.9	-19.8	14.8	21	37.6	1.75	9.18	7.49	5.2	6
TR	ConsNC	0.6	29.99	3.6	1.7	1.7	-5.3	2	34.1	39.3	2.77	3.29	2.85	1.1	1.3
NATL	Finance	0.95	25.15	14.9	-5	-5	-25.7	12.2	25.9	42.6	1.45	0.92	1.11	1.7	1.5
PBCT	Finance	1	14.22	4.2	7.1	6.7	71	7.9	19.5	43.5	0.95	4.41	5.62	4.6	4.3
HCN	Services	1.05	61.44	5.4	-7	-7.2	-15.5	38.4	125.4	46.2	1.58	7.36	8.14	5	6.2
ESS	Services	1.11	143.31	3.4	30.2	-4	9	7.9	47.5	51.2	2.99	9.12	7.21	3.4	4.2
ELS	Services	1.18	34.75	23.9	8.3	0	-4.8	10.2	35.5	53.1	3.91	4.04	3.03	2.9	2.4
TNC	CapGood	0.89	51.37	7.5	0.9	0.9	58.5	2.2	23.1	54.3	3.9	1.28	0.87	1.4	1.9
FUL	BasicM	1.07	37.29	5.2	-4.1	8.1	-10.3	6.1	19.6	55.7	2.28	0.93	0.74	1.1	1.3
SKT	Services	1.12	30.85	3.2	11.6	11.6	23.6	9.3	44.7	57.2	6	7.89	6.06	2.9	3.6
TEVA	Health	1.18	38.22	20.6	-2	-2	20.6	16.6	79.6	57.3	1.51	1.62	2.65	3.1	1.7
TDS	Services	1.18	27.69	6.4	-22.5	-24.3	-19.2	2.1	21.1	57.5	0.72	0.57	0.69	1.8	1.5
WSM	ConsCyc	1.04	56.41	13.9	7.7	7.7	47.6	0.5	20.8	61	4.48	1.29	0.78	2.2	2.5
UNS	Utilities	1.06	45.73	13.8	6.5	6.5	-23.1	1.1	19.1	71	1.76	1.29	0.85	3.8	4.3
GOLD	BasicM	1.4	78.02	33	50.9	50.9	84.3	33.1	21.1	72.7	2.66	6.25	10.45	0.6	0.3
RSG	Services	1.14	32.51	10.5	0.4	0.4	-11.9	20.6	25.8	74	1.53	1.44	1.3	3.2	3
DLR	Services	1.23	55.6	20.1	172.4	36.7	-17	26.5	38.6	91.2	2.5	5.05	5.24	5.6	4
FINL	Services	0.94	20.96	58.5	29.2	25.4	-27.2	3.7	16.5	99.4	1.93	0.69	0.56	1.3	1.2
TGP	Transp	0.98	42.08	5.3	18.8	18.8	33.4	8.8	17.9	130	2.37	7.51	4.36	6.4	8.7
FDX	Transp	1.04	107.36	13.3	6.4	6.4	23.2	3.1	21.8	247.4	1.97	0.77	0.63	0.6	0.6
PRE	Finance	1.08	87.15	7.6	7	7	-17.1	5.7	9.4	297.5	0.78	0.93	0.87	2.9	3
LAZ	Finance	0.99	35.42	21.7	-25	-25	27.5	-0.6	62.1	576.4	8.31	2.2	1.63	2.8	1.9
MXIM	Tech	1.01	27.845	5.1	9.4	9.5	41.6	3.5	18.4	625.8	3.23	3.32	2.93	3.7	4.1
															
															
															
